TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612737,Atlanta Hawks,82,56,26,0.683,3961.0,0.498,0.31,0.168,0.334,0.472,0.26,0.173,0.33,1,7,7,7,18,12,17,13,14,5,1,12,9,1996-97
1610612738,Boston Celtics,82,15,67,0.183,3981.0,0.474,0.316,0.167,0.329,0.539,0.337,0.18,0.342,1,28,28,28,5,24,14,11,17,29,19,3,19,1996-97
1610612766,Charlotte Hornets,82,54,28,0.659,3961.0,0.518,0.313,0.162,0.316,0.496,0.279,0.154,0.339,1,9,9,9,21,3,15,5,27,17,6,27,16,1996-97
1610612741,Chicago Bulls,82,69,13,0.841,3946.0,0.511,0.267,0.147,0.374,0.471,0.266,0.172,0.33,1,1,1,1,29,5,29,2,2,3,3,13,10,1996-97
1610612739,Cleveland Cavaliers,82,42,40,0.512,3971.0,0.493,0.297,0.17,0.322,0.482,0.379,0.191,0.319,1,14,14,14,7,15,25,14,25,10,27,2,5,1996-97
1610612742,Dallas Mavericks,82,24,58,0.293,3961.0,0.469,0.297,0.177,0.332,0.5,0.305,0.171,0.35,1,24,24,24,20,28,24,23,15,19,11,15,25,1996-97
1610612743,Denver Nuggets,82,21,61,0.256,3986.0,0.486,0.298,0.175,0.324,0.501,0.275,0.136,0.334,1,26,26,26,1,18,23,19,21,21,5,29,14,1996-97
1610612765,Detroit Pistons,82,54,28,0.659,3966.0,0.512,0.327,0.146,0.302,0.487,0.268,0.168,0.325,1,9,9,9,14,4,11,1,28,12,4,18,8,1996-97
1610612744,Golden State Warriors,82,30,52,0.366,3981.0,0.493,0.332,0.182,0.347,0.518,0.312,0.166,0.352,1,21,21,21,6,16,10,28,7,28,13,19,27,1996-97
1610612745,Houston Rockets,82,57,25,0.695,3971.0,0.52,0.307,0.178,0.318,0.481,0.261,0.153,0.308,1,4,4,4,13,2,19,25,26,9,2,28,2,1996-97
1610612754,Indiana Pacers,82,39,43,0.476,3986.0,0.49,0.374,0.178,0.338,0.48,0.343,0.171,0.332,1,17,17,17,1,17,2,26,12,7,21,14,13,1996-97
1610612746,Los Angeles Clippers,82,36,46,0.439,3986.0,0.482,0.31,0.17,0.339,0.499,0.359,0.178,0.346,1,18,18,18,1,21,18,15,11,18,25,5,22,1996-97
1610612747,Los Angeles Lakers,82,56,26,0.683,3986.0,0.496,0.351,0.159,0.343,0.478,0.321,0.175,0.342,1,7,7,7,1,14,5,4,9,6,15,11,18,1996-97
1610612748,Miami Heat,82,61,21,0.744,3961.0,0.507,0.324,0.177,0.324,0.465,0.339,0.179,0.322,1,3,3,3,18,8,12,21,22,2,20,4,6,1996-97
1610612749,Milwaukee Bucks,82,33,49,0.402,3946.0,0.496,0.334,0.172,0.329,0.501,0.346,0.161,0.331,1,20,20,20,27,13,9,17,16,20,22,25,11,1996-97
1610612750,Minnesota Timberwolves,82,40,42,0.488,3956.0,0.485,0.339,0.164,0.323,0.486,0.334,0.169,0.351,1,15,15,15,22,19,8,7,23,11,18,16,26,1996-97
1610612751,New Jersey Nets,82,26,56,0.317,3956.0,0.456,0.286,0.166,0.376,0.503,0.327,0.161,0.331,1,23,23,23,22,29,27,8,1,22,17,24,12,1996-97
1610612752,New York Knicks,82,57,25,0.695,3971.0,0.501,0.34,0.192,0.323,0.463,0.381,0.175,0.3,1,4,4,4,7,11,7,29,24,1,28,10,1,1996-97
1610612753,Orlando Magic,82,45,37,0.549,3971.0,0.481,0.304,0.168,0.336,0.495,0.288,0.177,0.349,1,12,12,12,7,23,20,12,13,15,7,6,24,1996-97
1610612755,Philadelphia 76ers,82,22,60,0.268,3956.0,0.47,0.358,0.179,0.359,0.51,0.303,0.16,0.346,1,25,25,25,25,27,4,27,3,26,10,26,23,1996-97
1610612756,Phoenix Suns,82,40,42,0.488,3971.0,0.508,0.317,0.151,0.297,0.507,0.291,0.166,0.337,1,15,15,15,7,7,13,3,29,24,8,20,15,1996-97
1610612757,Portland Trail Blazers,82,49,33,0.598,3971.0,0.503,0.35,0.178,0.358,0.471,0.362,0.163,0.309,1,11,11,11,7,10,6,24,4,4,26,22,3,1996-97
1610612758,Sacramento Kings,82,34,48,0.415,3962.0,0.485,0.313,0.174,0.348,0.496,0.358,0.164,0.339,1,19,19,19,17,20,16,18,6,16,24,21,17,1996-97
1610612759,San Antonio Spurs,82,20,62,0.244,3946.0,0.472,0.302,0.171,0.344,0.514,0.32,0.162,0.357,1,27,27,27,27,25,22,16,8,27,14,23,28,1996-97
1610612760,Seattle SuperSonics,82,57,25,0.695,3956.0,0.51,0.358,0.163,0.341,0.49,0.326,0.203,0.343,1,4,4,4,26,6,3,6,10,13,16,1,21,1996-97
1610612761,Toronto Raptors,82,30,52,0.366,3966.0,0.481,0.303,0.177,0.35,0.504,0.356,0.176,0.343,1,21,21,21,14,22,21,22,5,23,23,8,20,1996-97
1610612762,Utah Jazz,82,64,18,0.78,3966.0,0.531,0.389,0.167,0.328,0.48,0.387,0.177,0.313,1,2,2,2,14,1,1,10,18,8,29,7,4,1996-97
1610612763,Vancouver Grizzlies,82,14,68,0.171,3956.0,0.471,0.269,0.176,0.325,0.51,0.308,0.169,0.382,1,29,29,29,22,26,28,20,20,25,12,17,29,1996-97
1610612764,Washington Bullets,82,44,38,0.537,3971.0,0.505,0.296,0.167,0.326,0.491,0.302,0.176,0.324,1,13,13,13,7,9,26,9,19,14,9,9,7,1996-97
1610612737,Atlanta Hawks,82,50,32,0.61,3976.0,0.481,0.364,0.165,0.356,0.468,0.265,0.151,0.331,1,10,10,10,8,12,4,11,5,9,1,25,10,1997-98
1610612738,Boston Celtics,82,36,46,0.439,3946.0,0.464,0.283,0.171,0.352,0.504,0.461,0.217,0.358,1,20,20,20,27,21,26,18,7,26,29,1,24,1997-98
1610612766,Charlotte Hornets,82,51,31,0.622,3956.0,0.495,0.345,0.166,0.326,0.493,0.306,0.165,0.309,1,9,9,9,21,7,9,13,22,22,7,17,3,1997-98
1610612741,Chicago Bulls,82,62,20,0.756,3971.0,0.473,0.295,0.158,0.381,0.457,0.302,0.17,0.324,1,1,1,1,9,19,24,7,2,5,6,11,7,1997-98
1610612739,Cleveland Cavaliers,82,47,35,0.573,3966.0,0.478,0.352,0.188,0.33,0.46,0.35,0.191,0.322,1,11,11,11,10,13,6,29,19,7,23,3,6,1997-98
